,Median Age by Sex,Total Population,Male,Female,Never Married,Now Married,Widowed,Divorced,"12th Grade, No Diploma",High School Diploma,GED,Some College <1 Year,Some College >1 Year,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate,Median Income,Population Below Poverty Line,Total Income 10k(%),Total Income 10k-15k(%),Total Income 15k-25k(%),Total Income 25k-35k(%),Total Income 35k-50(%),Total Income 50k-75k(%),Total Income 75k-100k(%),Total Income 100k-150k(%),Total Income 150k-200k(%),Total Income >200k(%),Poverty Rate (%),Degree Percentage (%),POC Population (%),White Population (%),Black/African American Population (%),Asian Population (%),Hawaiian/Pacific Islander Population (%),American Indian/Alaskan Population (%),Some Other Race Population (%),Two or More Races Population (%),Disabled Population (%)
2760,36.5,77182,45638,31544,45569,26367,3933,9309,922,13588,6001,2821,8043,3354,6420,2583,340,558,47193,11841,11.5,4.6,8.9,11.9,15.0,16.8,10.9,12.2,4.8,3.3,15.341659972532456,12.828120546241353,34.79697338757741,64.88429944805783,21.9170272861548,1.2179005467596071,0.3187271643647483,0.1749112487367521,2.308828483325128,9.178305822601123,9.677126791
2761,28.7,57463,28521,28942,32976,20993,1564,3002,737,8588,1330,2108,6024,1552,5807,1691,336,53,71643,6890,5.9,2.0,5.3,6.7,15.6,16.5,10.6,15.9,10.0,11.5,11.99032421,13.725353705862902,50.978890764491936,48.94975897534065,24.74635852635609,1.529679967979395,0.07135026,1.404381950124428,14.832152863581785,8.466317456450238,11.059290325948872
2762,35.2,11347,5732,5615,5565,3435,472,829,227,2472,234,679,1152,411,621,172,20,2,70771,1530,4.8,3.2,7.4,5.5,15.4,17.0,14.6,19.5,8.4,4.3,13.483740195646426,7.182515202256103,25.10795805058606,74.89204194941395,6.345289503833612,0.6609676566493347,0.0,0.2203225522164449,10.989688904556273,6.891689433330396,12.78752093064246
2763,41.9,35807,17609,18198,19891,11838,1997,3327,469,6763,864,1743,3514,1844,4631,1376,608,366,70043,3988,3.7,7.1,6.3,7.2,12.3,17.4,15.2,16.1,5.7,9.0,11.137487083531154,19.49618789622141,28.20956796157176,71.79043203842824,18.03557963526685,0.6535035049012763,0.0,0.245762002,2.773200770799006,6.501522048761416,13.810148853576116
2764,29.4,267282,132495,134787,138840,85444,9656,15114,7101,27189,5764,7495,20846,11778,22081,6872,1500,531,59984,56471,6.5,5.3,9.8,9.5,11.5,16.8,13.6,16.2,5.9,4.9,21.12787243435772,11.592250881091882,46.31475370582381,53.6852462941762,0.4912414603302878,0.5215465313788433,0.0,0.276487006233117,5.674156882992495,39.35132182488907,12.972066955500184
2765,37.7,41614,20761,20853,22191,13363,2249,3044,746,6829,1640,1855,4031,2837,3508,1146,191,82,59712,5998,5.3,5.6,9.6,10.5,12.9,18.2,11.8,14.4,5.9,5.8,14.413418561061182,11.839765463545922,29.196904887778157,70.80309511222185,12.928341423559376,0.4613831883500745,0.0,0.0168212620752631,4.318258278463979,11.472100735329455,14.915653385879752
2766,40.0,4980,2580,2400,2356,1703,379,446,72,1141,228,170,638,189,502,86,3,5,58158,896,2.9,5.2,10.1,16.1,9.5,19.0,13.4,14.2,5.6,4.0,17.991967871485944,11.967871485943776,14.698795180722891,85.30120482,2.6506024096385543,0.2610441767068273,0.0,0.2610441767068273,3.995983935742972,7.530120481927711,16.02409638554217
2767,34.8,129584,67086,62498,72090,40370,6529,12955,1093,20566,5969,6336,13321,6968,12624,5506,935,858,58862,18483,6.5,5.0,9.4,9.1,13.6,16.9,12.9,16.3,6.2,4.2,14.263334979627116,15.374583281886652,24.08013334979627,75.78096061242128,10.01898383,2.288862822570688,0.1389060377824422,0.8689344363501667,3.0289233238671445,7.874428941844672,14.511050747005802
2768,37.2,12795,6305,6490,7361,3869,962,1485,402,2170,718,675,1298,518,1101,203,108,36,50769,2244,4.2,5.2,18.3,7.5,14.2,15.7,17.4,11.9,3.7,2.0,17.53810082063306,11.316920672137554,31.645173896053148,68.35482610394685,7.6357952325127005,3.298163345056663,0.0,0.5470887065259866,7.682688550214928,12.481438061742868,23.94685423993748
2769,33.7,20308,11047,9261,10970,6801,982,1561,560,3848,936,780,1113,691,994,301,32,28,42839,5032,9.5,9.4,12.6,9.9,15.3,14.2,11.9,12.2,3.3,1.7,24.77841244829624,6.672247390191058,30.460902107543824,69.53909789245617,0.8863502068150483,0.0,0.0,0.5613551309828639,3.2007090801654523,25.81248768958046,14.13236163088438
